time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001978,-0.0105,0.0070,0.0026,0.013
0.002398,0.0040,0.0021,-0.0259,0.026
0.008805,-0.0150,0.0069,-0.0399,0.043
0.019414,0.0040,-0.0026,-0.0111,0.012
0.019856,-0.0008,0.0070,0.0507,0.051
0.022674,-0.0103,-0.0026,0.0028,0.011
0.027428,0.0230,-0.0026,0.0218,0.032
0.032534,0.0086,0.0163,-0.0021,0.019
0.037378,-0.0009,-0.0029,0.0026,0.004
0.042306,0.0226,0.0209,-0.0164,0.035
0.047481,0.0176,0.0066,0.0075,0.020
0.052342,0.0126,0.0018,0.0122,0.018
0.057370,0.0030,-0.0030,0.0121,0.013
0.062292,-0.0159,-0.0029,-0.0212,0.027
0.067295,0.0034,-0.0171,-0.0163,0.024
0.072285,-0.0157,0.0068,-0.0019,0.017
0.077360,0.0129,-0.0123,0.0076,0.019
0.082276,0.0081,0.0068,-0.0067,0.013
0.087188,-0.0062,-0.0265,0.0171,0.032
0.092169,-0.0156,-0.0025,-0.0306,0.034
0.097183,0.0084,0.0118,-0.0208,0.025
0.102403,0.0179,-0.0025,-0.0016,0.018
0.109180,0.0035,0.0119,0.0031,0.013
0.112503,-0.0106,-0.0168,0.0078,0.021
0.117305,-0.0105,-0.0072,0.0268,0.030
0.122611,-0.0010,0.0025,0.0028,0.004
0.127935,-0.0057,-0.0166,0.0028,0.018
0.132764,0.0086,0.0121,0.0075,0.017
0.137402,-0.0106,0.0025,0.0027,0.011
0.142097,0.0132,-0.0022,0.0027,0.014
0.147297,0.0224,0.0026,-0.0164,0.028
0.152327,0.0080,0.0216,-0.0210,0.031
0.157075,0.0030,0.0024,-0.0065,0.008
0.162516,0.0172,-0.0167,-0.0065,0.025
0.167161,0.0029,-0.0118,-0.0112,0.017
0.172301,0.0173,0.0216,-0.0301,0.041
0.177485,0.0123,-0.0070,0.0129,0.019
0.182170,0.0029,0.0026,-0.0062,0.007
0.187545,-0.0067,0.0026,-0.0062,0.009
0.192224,-0.0256,0.0073,-0.0203,0.033
0.197228,0.0173,-0.0165,0.0131,0.027
0.202368,-0.0161,0.0074,-0.0013,0.018
0.209458,0.0030,-0.0069,0.0130,0.015
0.212529,-0.0209,-0.0068,-0.0109,0.025
0.217640,-0.0159,0.0028,-0.0060,0.017
0.223187,-0.0159,-0.0020,-0.0155,0.022
0.227315,-0.0157,-0.0115,0.0036,0.020
0.233033,-0.0014,0.0027,-0.0249,0.025
0.237633,-0.0014,0.0264,0.0038,0.027
0.242168,0.0081,0.0024,-0.0152,0.017
0.247032,-0.0156,0.0119,-0.0056,0.020
0.252266,0.0225,-0.0073,-0.0055,0.024
0.256936,0.0034,-0.0121,0.0088,0.015
0.262765,-0.0109,0.0070,0.0039,0.014
0.266860,-0.0109,-0.0168,-0.0198,0.028
0.272272,-0.0013,0.0072,-0.0197,0.021
0.277174,-0.0013,0.0119,-0.0100,0.016
0.282041,0.0130,0.0213,-0.0147,0.029
0.287513,-0.0061,-0.0074,-0.0051,0.011
0.291901,0.0129,0.0022,-0.0050,0.014
