time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004165,0.0058,0.0008,0.0857,0.086
0.004698,0.0161,-0.0234,-0.0147,0.032
0.004959,-0.0073,0.0382,-0.0336,0.051
0.013384,0.0170,-0.0145,-0.0903,0.093
0.013814,-0.0211,0.0138,-0.0943,0.098
0.018653,0.0215,-0.0004,-0.0413,0.047
0.024742,0.0018,-0.0002,-0.0124,0.013
0.029061,-0.0130,0.0048,0.0067,0.015
0.033698,0.0248,-0.0093,0.0303,0.040
0.039221,0.0056,-0.0093,0.0491,0.050
0.049439,0.0201,0.0097,0.0344,0.041
0.050082,0.0107,0.0000,0.0057,0.012
0.071581,-0.0176,0.0095,-0.0229,0.030
0.072054,-0.0078,0.0141,-0.0274,0.032
0.072220,-0.0078,-0.0003,-0.0082,0.011
0.072369,-0.0126,0.0140,-0.0224,0.029
0.079486,-0.0032,-0.0240,-0.0127,0.027
0.079787,0.0063,0.0190,0.0396,0.044
0.085345,0.0203,-0.0048,0.0203,0.029
0.089033,-0.0037,0.0190,0.0154,0.025
0.093558,0.0153,-0.0096,0.0200,0.027
0.098724,0.0011,0.0141,0.0008,0.014
0.103634,-0.0083,0.0045,-0.0229,0.025
0.108554,-0.0176,-0.0003,-0.0037,0.018
0.113570,-0.0269,0.0095,-0.0037,0.029
0.118686,0.0064,0.0236,0.0106,0.027
0.123869,0.0064,-0.0099,-0.0227,0.026
0.129493,0.0253,0.0330,-0.0131,0.044
0.134086,0.0060,0.0090,-0.0130,0.017
0.139214,0.0060,0.0090,-0.0081,0.013
0.148800,0.0012,0.0136,-0.0270,0.030
0.149457,0.0061,0.0087,0.0064,0.012
0.154111,0.0203,-0.0246,-0.0174,0.036
0.179118,-0.0084,-0.0054,0.0113,0.015
0.179527,0.0011,-0.0054,-0.0268,0.027
0.179709,-0.0179,-0.0005,-0.0076,0.019
0.179883,0.0155,-0.0051,0.0020,0.016
0.180105,-0.0132,0.0091,0.0067,0.017
0.184775,-0.0322,0.0089,0.0067,0.034
0.190455,0.0156,0.0183,-0.0124,0.027
0.201783,0.0107,0.0182,-0.0075,0.022
0.202387,0.0154,0.0133,-0.0075,0.022
0.209349,-0.0038,-0.0011,0.0021,0.004
0.209853,-0.0133,-0.0011,0.0021,0.013
0.214799,-0.0037,0.0131,-0.0075,0.016
0.218540,-0.0085,-0.0013,0.0069,0.011
0.223776,0.0058,-0.0060,-0.0122,0.015
0.228428,-0.0038,0.0084,-0.0073,0.012
0.233944,-0.0085,-0.0059,0.0117,0.016
0.238640,0.0058,-0.0010,0.0069,0.009
0.243367,-0.0132,-0.0058,0.0116,0.018
0.248519,-0.0036,-0.0057,0.0162,0.018
0.257322,0.0201,0.0229,-0.0029,0.031
0.259420,0.0011,0.0086,0.0161,0.018
0.263614,0.0059,-0.0199,-0.0220,0.030
0.284634,-0.0035,-0.0007,-0.0076,0.008
0.285115,-0.0035,-0.0007,0.0020,0.004
0.285282,-0.0082,-0.0149,0.0114,0.020
0.285438,0.0109,0.0043,0.0256,0.028
0.288246,0.0109,0.0090,0.0254,0.029
0.293702,-0.0130,0.0090,0.0157,0.022
0.298930,-0.0223,-0.0243,-0.0130,0.035
0.303580,-0.0078,-0.0099,0.0156,0.020
0.308757,0.0113,0.0140,-0.0320,0.037
0.313361,-0.0030,0.0139,-0.0127,0.019
0.318201,0.0019,-0.0052,-0.0031,0.006
0.323708,0.0115,0.0091,0.0112,0.018
0.328473,0.0114,-0.0004,0.0016,0.011
0.333968,-0.0028,0.0138,0.0015,0.014
0.338630,0.0020,-0.0006,0.0110,0.011
0.343406,0.0019,-0.0195,0.0252,0.032
0.348364,0.0209,0.0185,0.0250,0.037
0.356521,0.0112,0.0088,-0.0037,0.015
0.358367,-0.0126,-0.0055,0.0201,0.024
0.363452,0.0206,-0.0101,0.0151,0.027
0.383584,-0.0271,-0.0052,-0.0087,0.029
0.384147,0.0063,0.0043,-0.0039,0.009
0.384306,-0.0080,0.0138,0.0104,0.019
0.384459,0.0206,0.0042,0.0245,0.032
0.388874,0.0062,-0.0149,-0.0137,0.021
0.393544,0.0062,0.0185,-0.0088,0.021
0.398394,-0.0128,0.0088,-0.0182,0.024
0.403855,-0.0032,-0.0102,-0.0228,0.025
0.409374,0.0064,0.0089,0.0106,0.015
0.413508,0.0016,0.0088,0.0058,0.011
0.418761,-0.0030,-0.0102,0.0152,0.019
0.423738,-0.0125,-0.0101,-0.0134,0.021
0.428100,-0.0028,-0.0005,-0.0085,0.009
0.434406,-0.0073,0.0042,-0.0037,0.009
0.438609,0.0117,0.0042,0.0248,0.028
0.443166,0.0117,-0.0052,0.0009,0.013
0.449093,0.0116,-0.0053,-0.0181,0.022
0.458059,-0.0076,-0.0004,0.0010,0.008
0.458886,-0.0077,-0.0003,-0.0133,0.015
0.463668,0.0020,-0.0004,-0.0037,0.004
0.468556,0.0068,-0.0146,0.0011,0.016
