time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001665,0.0520,0.0013,0.1348,0.144
0.002030,0.0374,-0.0177,0.1384,0.144
0.006082,0.0045,-0.0084,0.0803,0.081
0.010834,-0.0137,0.0007,-0.0011,0.014
0.016852,-0.0083,0.0051,-0.0628,0.064
0.021007,-0.0175,0.0143,-0.0765,0.080
0.026037,-0.0080,-0.0002,-0.0759,0.076
0.031053,-0.0036,0.0048,-0.0468,0.047
0.035872,-0.0230,-0.0045,-0.0037,0.024
0.047624,0.0149,-0.0137,0.0771,0.080
0.048069,0.0194,-0.0088,0.0432,0.048
0.051070,-0.0044,-0.0135,0.0428,0.045
0.055887,0.0054,0.0053,-0.0002,0.008
0.073746,-0.0134,0.0052,-0.0097,0.017
0.074136,-0.0084,-0.0091,-0.0239,0.027
0.074291,0.0202,-0.0042,-0.0332,0.039
0.083942,-0.0039,0.0196,-0.0282,0.035
0.084386,-0.0041,0.0099,0.0006,0.011
0.092240,-0.0089,-0.0090,0.0243,0.027
0.092794,0.0149,0.0243,0.0051,0.029
0.100249,0.0244,0.0050,0.0098,0.027
0.100799,0.0101,-0.0046,-0.0093,0.014
0.108386,-0.0042,-0.0237,0.0098,0.026
0.110775,0.0006,0.0002,-0.0188,0.019
0.117355,-0.0088,-0.0283,-0.0234,0.038
0.120821,-0.0184,0.0099,-0.0137,0.025
0.125846,0.0103,0.0289,0.0054,0.031
0.130994,-0.0136,0.0193,0.0101,0.026
0.135767,0.0007,0.0049,0.0053,0.007
0.149270,-0.0184,0.0239,0.0337,0.045
0.149884,0.0008,-0.0145,0.0145,0.020
0.151728,-0.0230,-0.0191,0.0096,0.031
0.155796,-0.0037,-0.0046,0.0190,0.020
0.180437,0.0058,0.0144,-0.0239,0.028
0.180826,-0.0180,-0.0142,0.0048,0.023
0.180965,-0.0038,-0.0046,0.0143,0.015
0.181109,-0.0039,0.0096,0.0094,0.014
0.181239,-0.0039,-0.0142,0.0188,0.024
0.188220,0.0103,0.0049,0.0092,0.015
0.194817,-0.0230,0.0144,-0.0004,0.027
0.201593,0.0057,-0.0047,-0.0241,0.025
0.202204,-0.0180,0.0048,-0.0239,0.030
0.207984,0.0013,0.0285,0.0095,0.030
0.214833,-0.0130,-0.0002,0.0142,0.019
0.215360,-0.0176,-0.0001,0.0093,0.020
0.220540,0.0109,-0.0001,-0.0240,0.026
0.225599,0.0013,0.0189,-0.0286,0.034
0.231184,-0.0033,-0.0003,0.0002,0.003
0.235690,-0.0174,-0.0003,0.0049,0.018
0.246133,-0.0031,0.0187,0.0001,0.019
0.246673,0.0018,0.0043,0.0001,0.005
0.279299,0.0160,-0.0147,-0.0094,0.024
0.280828,-0.0269,0.0043,0.0049,0.028
0.281157,0.0112,-0.0052,0.0239,0.027
0.281294,0.0348,-0.0241,-0.0238,0.049
0.281444,-0.0129,-0.0003,-0.0046,0.014
0.281584,-0.0032,0.0187,0.0049,0.020
0.281713,-0.0173,-0.0004,0.0049,0.018
0.286003,0.0113,-0.0290,-0.0094,0.032
0.290489,0.0064,0.0046,0.0002,0.008
0.295382,-0.0080,0.0140,0.0049,0.017
0.300321,0.0016,0.0044,-0.0046,0.007
0.305838,0.0015,-0.0195,-0.0093,0.022
0.310462,-0.0413,-0.0098,0.0145,0.045
0.315808,0.0017,-0.0143,-0.0141,0.020
0.320557,0.0112,-0.0142,0.0050,0.019
0.325420,0.0015,0.0002,0.0097,0.010
0.330938,0.0158,-0.0045,-0.0094,0.019
0.336148,0.0015,0.0002,0.0240,0.024
0.340381,0.0015,-0.0046,0.0000,0.005
0.350201,-0.0128,0.0049,0.0048,0.015
0.350908,-0.0031,0.0049,-0.0000,0.006
0.355519,-0.0077,0.0001,-0.0000,0.008
0.386863,-0.0029,0.0190,0.0047,0.020
0.387441,-0.0029,-0.0048,0.0047,0.007
0.387632,0.0162,0.0142,-0.0096,0.024
