time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.611104,-0.0046,-0.0100,0.0009,0.011
0.616104,-0.0093,-0.0003,0.0199,0.022
0.621759,-0.0044,-0.0004,0.0055,0.007
0.626095,0.0051,0.0138,0.0054,0.016
0.630999,-0.0093,-0.0100,-0.0088,0.016
0.636090,0.0051,0.0186,0.0245,0.031
0.641216,0.0049,-0.0290,0.0148,0.033
0.646878,0.0050,-0.0003,0.0194,0.020
0.650925,0.0002,0.0234,0.0002,0.023
0.656070,0.0193,-0.0196,0.0097,0.029
0.660753,0.0145,-0.0004,0.0144,0.020
0.666193,0.0000,0.0090,0.0048,0.010
0.671772,-0.0332,-0.0053,-0.0142,0.036
0.675699,0.0099,-0.0005,-0.0046,0.011
0.680899,0.0098,0.0138,-0.0093,0.019
0.685780,-0.0046,0.0089,0.0097,0.014
0.691057,0.0097,0.0042,0.0002,0.011
0.705566,-0.0045,0.0136,0.0096,0.017
0.706054,-0.0140,0.0183,-0.0142,0.027
0.706227,-0.0045,-0.0151,0.0049,0.017
0.710636,-0.0044,0.0134,-0.0046,0.015
0.715869,-0.0137,-0.0010,0.0144,0.020
0.720750,0.0005,0.0133,-0.0047,0.014
0.726153,0.0051,-0.0105,0.0191,0.022
0.730645,0.0147,0.0039,-0.0048,0.016
0.735680,0.0099,0.0181,0.0095,0.023
0.740647,-0.0092,0.0037,-0.0096,0.014
0.745776,-0.0090,-0.0058,-0.0190,0.022
0.750943,-0.0042,-0.0199,-0.0046,0.021
0.755760,0.0052,-0.0055,-0.0093,0.012
0.760619,0.0005,0.0088,0.0098,0.013
0.765713,0.0149,-0.0008,0.0002,0.015
0.770766,0.0193,-0.0008,0.0097,0.022
0.776219,-0.0139,0.0135,0.0096,0.022
0.780692,0.0147,0.0087,-0.0237,0.029
0.785617,0.0099,-0.0009,-0.0140,0.017
0.790658,-0.0045,-0.0199,0.0051,0.021
0.796012,-0.0091,0.0088,0.0050,0.014
0.806770,0.0051,-0.0008,0.0145,0.015
0.807235,0.0192,0.0134,0.0049,0.024
0.810790,0.0144,0.0084,-0.0189,0.025
0.815696,0.0095,-0.0059,0.0002,0.011
0.820621,-0.0238,-0.0012,-0.0045,0.024
0.826181,0.0146,0.0082,0.0003,0.017
0.830498,0.0051,-0.0013,0.0383,0.039
0.835514,0.0240,-0.0059,-0.0000,0.025
