time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004622,-0.0151,0.0187,-0.0378,0.045
0.005153,0.0040,-0.0051,0.0100,0.012
0.005454,0.0133,0.0045,0.0241,0.028
0.011478,0.0225,0.0046,0.0334,0.041
0.021289,0.0222,-0.0001,0.0284,0.036
0.021731,-0.0158,-0.0049,0.0092,0.019
0.045325,-0.0107,0.0093,-0.0051,0.015
0.045658,-0.0153,0.0091,-0.0193,0.026
0.045787,-0.0103,-0.0005,-0.0144,0.018
0.045927,-0.0104,0.0090,-0.0001,0.014
0.046043,-0.0009,0.0042,0.0047,0.006
0.052689,0.0274,0.0185,0.0094,0.034
0.059870,0.0320,-0.0100,-0.0049,0.034
0.060468,-0.0110,0.0042,-0.0001,0.012
0.067444,-0.0014,-0.0102,-0.0001,0.010
0.069317,-0.0203,-0.0054,-0.0001,0.021
0.074731,-0.0058,-0.0054,0.0141,0.016
0.083175,-0.0058,-0.0148,-0.0050,0.017
0.083971,0.0036,-0.0004,-0.0050,0.006
0.091508,-0.0012,-0.0005,0.0141,0.014
0.094080,-0.0059,0.0043,-0.0050,0.009
0.099919,0.0084,-0.0148,-0.0002,0.017
0.108322,-0.0106,-0.0146,0.0093,0.020
0.108948,0.0037,-0.0003,0.0139,0.014
0.116349,-0.0104,0.0188,0.0043,0.022
0.119454,0.0087,0.0044,-0.0052,0.011
0.140935,-0.0008,-0.0194,-0.0004,0.019
0.141255,0.0135,0.0093,-0.0052,0.017
0.141382,-0.0103,-0.0193,-0.0146,0.026
0.141519,0.0134,-0.0096,-0.0145,0.022
0.147238,0.0083,-0.0000,-0.0144,0.017
0.153368,-0.0108,-0.0048,-0.0095,0.015
0.153756,-0.0203,-0.0048,-0.0189,0.028
0.159095,-0.0011,0.0047,0.0002,0.005
0.164031,-0.0011,-0.0049,0.0002,0.005
0.169896,0.0036,0.0237,-0.0045,0.024
0.173995,-0.0201,-0.0003,0.0192,0.028
0.179809,-0.0057,-0.0145,0.0143,0.021
0.184197,-0.0056,-0.0050,0.0047,0.009
0.189181,-0.0103,-0.0147,-0.0048,0.019
0.194445,-0.0149,-0.0050,0.0190,0.025
0.199075,0.0184,0.0140,-0.0049,0.024
0.210905,-0.0006,-0.0003,-0.0049,0.005
0.211438,-0.0149,0.0138,0.0094,0.022
0.214132,-0.0053,-0.0054,-0.0049,0.009
0.219442,0.0280,0.0042,-0.0144,0.032
0.242127,-0.0005,0.0184,-0.0095,0.021
0.242504,0.0185,-0.0007,-0.0047,0.019
0.242648,-0.0242,-0.0339,-0.0094,0.043
0.242798,-0.0146,-0.0194,-0.0046,0.025
0.248762,-0.0146,-0.0050,0.0097,0.018
0.249137,0.0139,0.0140,-0.0046,0.020
0.255159,-0.0004,0.0234,0.0049,0.024
0.262036,-0.0003,-0.0100,-0.0094,0.014
0.264265,-0.0003,0.0234,0.0145,0.028
0.269226,-0.0097,-0.0101,-0.0236,0.027
0.273609,0.0047,-0.0005,-0.0045,0.006
0.279459,0.0047,-0.0005,0.0241,0.025
0.284280,-0.0001,-0.0005,0.0191,0.019
0.288832,-0.0049,0.0042,-0.0048,0.008
0.294493,-0.0048,-0.0006,0.0048,0.007
0.298575,0.0189,-0.0005,-0.0000,0.019
0.312117,0.0187,0.0043,-0.0095,0.021
0.312901,0.0089,0.0090,0.0095,0.016
0.313652,-0.0007,-0.0053,0.0095,0.011
0.318856,-0.0243,-0.0005,0.0189,0.031
0.323767,0.0043,-0.0004,-0.0003,0.004
