time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002301,0.0000,-0.0069,0.0308,0.032
0.002617,0.0188,-0.0068,0.0448,0.049
0.005907,0.0141,-0.0163,0.0634,0.067
0.010648,-0.0142,-0.0115,0.0107,0.021
0.016034,-0.0283,0.0123,-0.0322,0.045
0.020492,-0.0092,0.0028,-0.0034,0.010
0.025629,-0.0189,-0.0114,-0.0129,0.026
0.030732,-0.0141,-0.0065,0.0205,0.026
0.036084,0.0002,0.0030,0.0203,0.021
0.041115,0.0051,-0.0018,0.0011,0.005
0.045590,-0.0186,-0.0018,-0.0274,0.033
0.050579,-0.0089,0.0078,-0.0081,0.014
0.055626,-0.0088,0.0221,0.0062,0.025
0.062808,0.0053,-0.0161,0.0109,0.020
0.066028,0.0099,-0.0159,0.0345,0.039
0.070652,-0.0139,0.0031,0.0390,0.041
0.101083,0.0005,-0.0064,0.0434,0.044
0.101419,0.0148,0.0031,0.0003,0.015
0.101554,-0.0044,0.0125,0.0003,0.013
0.101671,0.0003,-0.0019,0.0050,0.005
0.101796,-0.0186,-0.0066,0.0240,0.031
0.101928,-0.0042,-0.0113,0.0143,0.019
0.105715,-0.0185,0.0125,0.0379,0.044
0.110657,0.0055,0.0077,0.0091,0.013
0.118633,0.0006,0.0076,0.0138,0.016
0.120165,-0.0137,0.0029,0.0137,0.020
0.127388,0.0006,0.0124,-0.0102,0.016
0.130244,-0.0089,-0.0020,-0.0101,0.014
0.135861,-0.0041,0.0218,0.0185,0.029
0.145868,-0.0087,0.0168,0.0088,0.021
0.146248,-0.0230,-0.0071,0.0088,0.026
0.152522,-0.0086,0.0026,-0.0008,0.009
0.155178,0.0154,-0.0069,-0.0056,0.018
0.161070,-0.0038,0.0074,0.0087,0.012
0.194551,-0.0227,-0.0069,0.0039,0.024
0.194926,0.0297,-0.0164,-0.0151,0.037
0.195076,0.0153,0.0028,-0.0055,0.017
0.195298,-0.0086,-0.0209,-0.0149,0.027
0.195438,-0.0085,0.0077,0.0089,0.015
0.195585,-0.0037,0.0077,0.0088,0.012
0.195729,0.0058,0.0028,-0.0007,0.007
0.203451,0.0011,-0.0068,-0.0055,0.009
0.205575,-0.0131,-0.0115,-0.0292,0.034
0.210303,-0.0083,-0.0067,-0.0004,0.011
0.216293,0.0345,-0.0066,-0.0147,0.038
0.220242,-0.0134,-0.0065,-0.0003,0.015
0.225502,-0.0038,0.0125,0.0044,0.014
0.230084,0.0010,-0.0209,0.0092,0.023
0.235210,0.0009,-0.0111,0.0043,0.012
0.241218,0.0104,0.0224,-0.0242,0.035
