time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002369,-0.0200,0.0080,-0.0516,0.056
0.002728,-0.0107,0.0081,0.0343,0.037
0.011567,0.0132,0.0128,0.0767,0.079
0.013220,-0.0105,-0.0111,0.0144,0.021
0.017849,0.0039,0.0270,-0.0475,0.055
0.023714,-0.0010,-0.0017,-0.0186,0.019
0.032061,0.0084,0.0031,-0.0327,0.034
0.033993,-0.0011,0.0078,0.0293,0.030
0.038768,-0.0105,0.0076,-0.0089,0.016
0.048085,-0.0152,0.0218,-0.0136,0.030
0.048598,0.0323,0.0026,0.0008,0.032
0.053777,0.0130,-0.0117,0.0103,0.020
0.060366,0.0036,0.0026,0.0244,0.025
0.062780,0.0083,-0.0116,0.0100,0.017
0.067769,-0.0060,-0.0257,0.0099,0.028
0.073261,-0.0013,-0.0112,-0.0044,0.012
0.077742,-0.0060,0.0033,-0.0091,0.011
0.084153,0.0177,-0.0014,0.0099,0.020
0.087993,-0.0061,0.0033,0.0051,0.009
0.092865,0.0082,0.0033,-0.0092,0.013
0.098248,-0.0015,-0.0062,0.0194,0.020
0.102859,-0.0015,-0.0061,-0.0045,0.008
0.107816,0.0127,0.0317,-0.0187,0.039
0.112799,-0.0112,0.0030,-0.0043,0.012
0.117741,-0.0110,-0.0112,0.0242,0.029
0.122846,-0.0110,0.0031,0.0050,0.012
0.127674,-0.0062,0.0077,-0.0140,0.017
0.132675,-0.0014,-0.0065,0.0098,0.012
0.141534,-0.0203,-0.0158,0.0240,0.035
0.143394,-0.0106,-0.0159,0.0048,0.020
0.148858,0.0179,-0.0158,0.0000,0.024
0.156523,0.0034,0.0081,-0.0190,0.021
0.162725,0.0034,0.0079,0.0097,0.013
0.163132,-0.0203,-0.0160,-0.0189,0.032
0.169614,-0.0106,0.0030,-0.0140,0.018
0.174715,-0.0058,0.0173,-0.0234,0.030
0.177873,-0.0008,-0.0114,-0.0089,0.015
0.182558,0.0039,0.0029,0.0196,0.020
0.187447,-0.0247,0.0125,-0.0043,0.028
0.192649,0.0230,0.0125,0.0052,0.027
0.197378,-0.0056,0.0219,-0.0233,0.032
0.202284,0.0134,0.0027,0.0054,0.015
0.207325,-0.0150,0.0027,0.0243,0.029
0.212288,0.0088,0.0074,0.0004,0.011
0.217717,-0.0104,0.0121,0.0051,0.017
0.222512,-0.0057,-0.0118,0.0004,0.013
0.227264,-0.0105,-0.0117,0.0099,0.019
0.232309,-0.0008,-0.0068,0.0003,0.007
0.242158,-0.0197,0.0170,-0.0140,0.030
0.242797,0.0041,-0.0021,-0.0044,0.006
0.253605,-0.0148,-0.0068,-0.0138,0.021
0.254078,-0.0148,0.0075,0.0053,0.017
0.258858,0.0186,-0.0022,-0.0043,0.019
0.263104,-0.0054,-0.0022,0.0148,0.016
0.267328,-0.0007,0.0026,-0.0091,0.009
0.273179,0.0042,0.0073,-0.0043,0.009
0.277166,-0.0006,0.0071,0.0100,0.012
0.282380,0.0042,-0.0120,-0.0043,0.013
