time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002269,0.0371,-0.0277,0.1069,0.116
0.002698,0.0221,0.0061,0.2104,0.212
0.005521,0.0272,-0.0085,0.1280,0.131
0.014097,0.0137,0.0006,0.0509,0.053
0.014526,-0.0235,0.0047,-0.0492,0.055
0.019120,-0.0228,0.0187,-0.0868,0.092
0.024603,-0.0226,0.0185,-0.1003,0.104
0.028849,-0.0181,-0.0003,-0.0615,0.064
0.033897,-0.0044,-0.0189,0.0055,0.020
0.039412,0.0094,0.0005,0.0339,0.035
0.043920,-0.0100,-0.0040,0.0811,0.082
0.050226,-0.0049,0.0007,0.0757,0.076
0.053801,-0.0047,0.0052,0.0039,0.008
0.058863,-0.0138,0.0051,-0.0057,0.016
0.063911,0.0009,0.0049,-0.0341,0.034
0.068838,0.0010,0.0144,-0.0481,0.050
0.075337,-0.0086,0.0048,-0.0192,0.022
0.078985,0.0007,0.0191,-0.0143,0.024
0.083921,0.0148,-0.0094,0.0048,0.018
0.089924,0.0003,-0.0092,0.0096,0.013
0.093922,0.0099,-0.0092,0.0237,0.027
0.107031,0.0195,0.0050,0.0283,0.035
0.107635,0.0099,-0.0093,-0.0289,0.032
0.109205,0.0147,0.0096,-0.0050,0.018
0.114251,-0.0043,-0.0095,-0.0192,0.022
0.119114,0.0146,0.0000,-0.0237,0.028
0.125020,0.0002,0.0000,0.0049,0.005
0.129053,0.0048,0.0097,0.0191,0.022
0.133774,-0.0332,0.0144,0.0142,0.039
0.139300,0.0289,-0.0095,-0.0001,0.030
0.143832,0.0001,0.0000,-0.0144,0.014
0.150147,-0.0046,-0.0142,-0.0143,0.021
0.153716,-0.0046,0.0096,-0.0141,0.018
0.158878,-0.0189,0.0048,0.0145,0.024
0.163729,-0.0187,0.0142,0.0001,0.024
0.168930,0.0005,-0.0095,-0.0046,0.011
0.173742,0.0147,0.0095,-0.0141,0.022
0.180230,0.0003,0.0142,-0.0235,0.027
0.183790,0.0098,-0.0002,-0.0233,0.025
0.188466,0.0193,-0.0048,-0.0041,0.020
0.193579,-0.0141,0.0237,-0.0041,0.028
0.198620,0.0049,0.0046,-0.0230,0.024
0.207435,0.0146,0.0094,-0.0228,0.029
0.209252,0.0001,0.0045,0.0011,0.005
0.214570,-0.0189,0.0092,-0.0179,0.028
0.218977,0.0051,-0.0003,0.0155,0.016
0.224922,0.0050,0.0091,0.0011,0.010
0.228744,0.0192,-0.0003,-0.0131,0.023
0.233523,0.0143,-0.0050,0.0155,0.022
0.238793,0.0094,-0.0097,0.0201,0.024
0.243619,0.0046,-0.0001,-0.0086,0.010
0.248870,-0.0097,-0.0096,-0.0085,0.016
0.255022,0.0142,0.0047,-0.0132,0.020
0.258943,0.0045,-0.0001,0.0012,0.005
0.263724,0.0139,0.0047,-0.0083,0.017
0.268545,0.0186,0.0046,0.0060,0.020
0.275334,0.0184,-0.0335,-0.0463,0.060
0.278971,-0.0103,0.0000,-0.0079,0.013
0.284215,-0.0104,0.0000,-0.0316,0.033
0.288663,0.0039,-0.0048,0.0209,0.022
0.293830,0.0038,-0.0144,-0.0220,0.027
0.298873,0.0180,-0.0190,-0.0076,0.027
0.303942,-0.0011,0.0144,-0.0123,0.019
0.311705,-0.0011,-0.0047,-0.0312,0.032
0.313697,-0.0107,-0.0141,-0.0072,0.019
