time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001686,-0.0130,-0.0130,-0.0059,0.019
0.001980,-0.0507,0.0154,-0.0296,0.061
0.009665,-0.0123,-0.0132,-0.0388,0.043
0.011229,-0.0124,0.0013,-0.0385,0.040
0.016531,0.0206,-0.0080,0.0283,0.036
0.022347,0.0061,0.0017,0.0470,0.047
0.026285,0.0109,-0.0269,0.0324,0.044
0.037819,0.0111,0.0018,-0.0058,0.013
0.038259,-0.0223,0.0017,-0.0200,0.030
0.041541,-0.0174,0.0065,-0.0151,0.024
0.046148,0.0207,0.0112,-0.0055,0.024
0.051147,-0.0128,-0.0173,0.0230,0.032
0.057483,0.0016,-0.0266,0.0086,0.028
0.061105,0.0159,-0.0217,-0.0010,0.027
0.066291,0.0064,0.0212,-0.0152,0.027
0.071111,-0.0079,-0.0124,-0.0008,0.015
0.076212,-0.0126,-0.0218,-0.0103,0.027
0.081260,0.0159,0.0165,0.0088,0.025
0.086080,-0.0175,-0.0122,0.0182,0.028
0.091154,0.0064,-0.0025,-0.0010,0.007
0.096082,0.0206,-0.0026,-0.0105,0.023
0.101150,0.0013,0.0021,-0.0009,0.003
0.106208,0.0060,-0.0026,0.0086,0.011
0.111143,-0.0082,-0.0025,0.0086,0.012
0.116216,-0.0225,-0.0072,0.0227,0.033
0.121018,0.0014,0.0166,-0.0012,0.017
0.125999,0.0060,0.0022,0.0036,0.007
0.131131,0.0106,-0.0263,-0.0012,0.028
0.137794,0.0056,-0.0119,-0.0012,0.013
0.141079,0.0102,0.0025,0.0083,0.013
0.146205,0.0054,0.0071,0.0035,0.010
0.151098,-0.0089,-0.0024,-0.0108,0.014
0.156218,0.0007,0.0071,-0.0202,0.021
0.161770,0.0103,-0.0168,0.0085,0.021
0.166100,-0.0040,0.0023,-0.0248,0.025
0.170931,0.0007,-0.0072,0.0134,0.015
0.176477,-0.0041,0.0166,-0.0058,0.018
0.181121,0.0150,0.0021,0.0275,0.031
0.186680,0.0197,-0.0121,-0.0154,0.028
0.191142,0.0005,0.0165,-0.0058,0.018
0.196291,0.0053,-0.0025,-0.0105,0.012
0.200951,0.0004,-0.0121,-0.0199,0.023
0.206145,-0.0186,0.0023,0.0087,0.021
0.211882,0.0194,0.0071,0.0134,0.025
0.216044,-0.0234,-0.0168,-0.0057,0.029
0.220932,-0.0042,-0.0023,0.0181,0.019
0.226544,0.0291,0.0071,-0.0105,0.032
0.230942,-0.0043,-0.0215,-0.0152,0.027
0.238024,0.0148,0.0071,0.0087,0.019
0.241137,0.0004,0.0071,0.0181,0.019
0.245890,0.0004,0.0069,-0.0058,0.009
0.250837,-0.0091,-0.0073,-0.0010,0.012
0.255810,0.0100,-0.0025,-0.0010,0.010
0.260716,0.0146,-0.0072,-0.0057,0.017
0.267136,0.0050,0.0022,0.0038,0.007
0.271787,-0.0093,-0.0025,-0.0295,0.031
0.275685,-0.0139,-0.0073,0.0230,0.028
0.280826,0.0005,0.0070,-0.0057,0.009
0.285807,-0.0185,-0.0073,0.0086,0.022
0.291523,0.0150,-0.0215,-0.0057,0.027
0.296003,0.0150,-0.0024,-0.0009,0.015
0.300786,-0.0136,0.0307,0.0229,0.041
0.305860,0.0150,0.0161,0.0037,0.022
0.310617,-0.0325,-0.0030,0.0037,0.033
0.316421,-0.0228,-0.0124,-0.0106,0.028
0.320816,0.0012,-0.0170,0.0180,0.025
0.325634,0.0011,-0.0073,-0.0059,0.009
0.330787,0.0012,0.0119,0.0179,0.021
0.340014,-0.0179,0.0024,-0.0155,0.024
0.340817,-0.0177,-0.0072,-0.0059,0.020
0.345733,0.0062,-0.0024,0.0131,0.015
