time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002726,0.0026,-0.0044,-0.0020,0.005
0.003140,0.0027,-0.0044,-0.0447,0.045
0.007889,-0.0069,-0.0042,-0.0443,0.045
0.012321,0.0025,0.0196,0.0273,0.034
0.017302,-0.0072,-0.0137,0.0318,0.035
0.022362,0.0119,-0.0089,0.0220,0.027
0.027358,0.0071,-0.0088,0.0123,0.017
0.034184,-0.0024,-0.0230,-0.0163,0.028
0.037421,0.0214,-0.0085,-0.0304,0.038
0.043050,-0.0074,0.0059,-0.0159,0.018
0.059382,0.0021,0.0058,0.0033,0.007
0.059745,0.0021,0.0200,-0.0015,0.020
0.059884,0.0023,-0.0229,0.0080,0.024
0.063014,-0.0168,-0.0227,-0.0158,0.032
0.067168,-0.0022,-0.0035,-0.0109,0.012
0.073409,-0.0071,0.0061,0.0081,0.012
0.077171,-0.0213,0.0108,-0.0062,0.025
0.082602,-0.0164,-0.0082,-0.0014,0.018
0.090452,0.0074,0.0062,-0.0061,0.011
0.092375,0.0217,0.0346,-0.0061,0.041
0.098599,0.0215,0.0010,0.0225,0.031
0.102158,0.0213,0.0152,0.0080,0.027
0.107111,-0.0026,-0.0039,-0.0015,0.005
0.115199,0.0163,-0.0086,-0.0158,0.024
0.117008,-0.0267,0.0057,-0.0109,0.029
0.123611,0.0068,-0.0085,-0.0155,0.019
0.127041,0.0162,-0.0084,-0.0107,0.021
0.132258,0.0066,0.0011,-0.0106,0.013
0.158415,0.0017,-0.0179,-0.0010,0.018
0.158775,0.0018,0.0155,0.0038,0.016
0.158915,0.0064,0.0011,0.0037,0.008
0.159045,0.0016,-0.0178,-0.0010,0.018
0.159174,0.0016,0.0014,0.0037,0.004
0.163400,-0.0271,0.0110,-0.0058,0.030
0.167634,0.0064,-0.0034,0.0180,0.019
0.172185,0.0113,-0.0081,-0.0107,0.018
0.176897,0.0113,-0.0129,-0.0201,0.026
0.182239,-0.0124,-0.0081,-0.0104,0.018
0.187582,-0.0170,0.0110,-0.0151,0.025
0.191756,0.0068,0.0061,0.0088,0.013
0.196926,0.0020,0.0250,-0.0103,0.027
0.202696,0.0351,-0.0131,-0.0102,0.039
0.206834,-0.0033,0.0012,-0.0006,0.004
0.212475,-0.0127,0.0012,-0.0006,0.013
